Unidade;Subamostra;Ocasiao_1;Ocasiao_2
1.0;1.0;141.9;
2.0;1.0;147.7;
3.0;1.0;126.3;
4.0;1.0;137.1;
5.0;1.0;133.2;
6.0;1.0;110.2;
7.0;1.0;126.8;
8.0;1.0;132.1;
9.0;1.0;73.8;
10.0;1.0;76.2;
11.0;1.0;63.4;
12.0;1.0;77.4;
13.0;1.0;98.3;
14.0;1.0;87.4;
15.0;1.0;116.5;
16.0;1.0;83.8;
17.0;1.0;111.0;
18.0;2.0;77.9;109.0
19.0;2.0;139.7;165.9
20.0;2.0;182.1;208.3
21.0;2.0;94.7;143.7
22.0;2.0;181.7;197.5
23.0;2.0;161.4;191.6
24.0;2.0;172.6;266.1
25.0;2.0;191.3;280.3
26.0;2.0;137.9;178.4
27.0;2.0;167.1;218.9
28.0;2.0;110.1;149.7
29.0;2.0;123.6;161.7
30.0;2.0;107.5;174.5
31.0;3.0;;172.7
32.0;3.0;;180.0
33.0;3.0;;105.4
34.0;3.0;;126.3
35.0;3.0;;150.6
36.0;3.0;;191.5
37.0;3.0;;248.4
38.0;3.0;;183.3
39.0;3.0;;226.8
40.0;3.0;;224.3
41.0;3.0;;154.1
42.0;3.0;;142.9
43.0;3.0;;102.7
