n;Ocasiao_1;Ocasiao_2
1.00;141.89;174.99
2.00;147.74;187.58
3.00;126.26;153.81
4.00;137.08;176.28
5.00;39.30;61.76
6.00;133.19;160.87
7.00;110.21;150.23
8.00;126.79;164.15
9.00;132.09;170.99
10.00;73.79;101.36
11.00;76.22;114.85
12.00;63.42;87.89
13.00;77.47;102.06
14.00;37.24;51.37
15.00;98.34;152.57
16.00;87.04;119.94
17.00;116.52;148.93
18.00;83.75;129.42
19.00;110.99;152.01
20.00;77.87;109.04
21.00;139.73;165.91
22.00;182.11;208.33
23.00;94.68;143.74
24.00;181.69;197.50
25.00;161.44;191.62
26.00;172.58;266.13
27.00;191.29;280.29
28.00;137.93;178.37
29.00;167.08;218.88
30.00;110.10;149.68
31.00;123.59;161.67
32.00;107.45;174.45
33.00;137.35;172.66
34.00;137.77;179.97
35.00;79.56;105.36
36.00;80.79;126.26
37.00;118.52;150.55
38.00;133.61;191.47
39.00;174.91;248.38
40.00;140.90;183.30
41.00;176.79;226.76
42.00;185.32;224.25
43.00;135.84;154.10
44.00;109.97;142.97
45.00;73.65;102.68
